Datum;Parzelle;Dach;Strom;Dachbauten;Drittelung;Unkraut;Details
15.06.2025;1;24;17971;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Hecke an der Außengrenze ist zu hoch (zulässige Höhe: 180cm). Bitte bis zum 27.07.2025 kürzen.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;11;37;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.']
15.06.2025;2;25;32022;Die Laube/überdachte Fläche überschreitet die erlaubten 24 m². Das bedeutet: Keine neuen An- und Ausbauten, auch nicht Vordachanbringung bzw. Vergrößerung erlaubt! Bei Gartenrückgabe muss ggf. mit Rückbau auf das erlaubte Maß von 24 m² gerechnet werden. Bei Fragen kannst Du Dich an den Vorstand wenden.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.', 'Bitte den Bambus etwas kürzer schneiden. Bitte Girsch entfernen. Bitte Holunder kürzen.']
15.06.2025;3;48;6989;Die Laube/überdachte Fläche überschreitet die erlaubten 24 m². Das bedeutet: Keine neuen An- und Ausbauten, auch nicht Vordachanbringung bzw. Vergrößerung erlaubt! Bei Gartenrückgabe muss ggf. mit Rückbau auf das erlaubte Maß von 24 m² gerechnet werden. Bei Fragen kannst Du Dich an den Vorstand wenden.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Bitte die Parzellennummer sichtbar anbringen.']
15.06.2025;4;20;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine Drittelung auf (ein Drittel der Gartenfläche muss für den Anbau genutzt werden). Um einer Abmahnung vorzubeugen bitte bis zum 27.07.2025 die Anbaufläche auf ein Drittel vergrößern (z.B. durch die Umwandlung von Rasenfläche in Beete) und mit Fotos dem Vorstand (vorstand@taunus3.de) nachweisen.;Der Garten weist Unkraut mit Samenflug bzw. invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, auf. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.', 'Kein Kompost vorhanden. Bitte bis zum 27.07.2025 einen Kompost anlegen.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.', 'Bitte Holunder kürzen.']
15.06.2025;12;22;37947;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Essigbaum entfernen. ']
15.06.2025;5;19;41773;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;['Sichtschutz, der nicht aus Pflanzen besteht, ist verboten. Bitte bis zum 27.07.2025 entfernen.', 'Bitte Holunder kürzen.']
15.06.2025;6;24;;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Der Garten weist keine Drittelung auf (ein Drittel der Gartenfläche muss für den Anbau genutzt werden). Um einer Abmahnung vorzubeugen bitte bis zum 27.07.2025 die Anbaufläche auf ein Drittel vergrößern (z.B. durch die Umwandlung von Rasenfläche in Beete) und mit Fotos dem Vorstand (vorstand@taunus3.de) nachweisen.;Der Garten weist Unkraut mit Samenflug bzw. invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, auf. Wir mahnen Sie ab und setzen Ihnen eine Frist bis zum 27.07.2025, um den negativen Zustand zu beheben.;['Kein Stromzählerstand erfasst. Bitte den Stromzählerstand bis zum 27.07.2025 mit Foto an vorstand@taunus3.de übermitteln.', 'Hecke an der Außengrenze ist zu hoch (zulässige Höhe: 180cm). Bitte bis zum 27.07.2025 kürzen.', 'Äste, Zweige von Büschen und Bäumen ragen in die Gartenwege bzw. in Nachbargärten. Bitte bis zum 27.07.2025 entfernen.', 'Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte bis zum 27.07.2025 entfernen.']
15.06.2025;13;24;73736;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
15.06.2025;14;27;26439;Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.;Keine Anmerkungen. Bitte achte auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).;Keine Anmerkungen. Bitte achte auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.;[]
